"Registracijas_kods","Nosaukums","Taksacijas_gads_ceturksnis","Samaksato_VID_administreto_nodoklu_kopsumma_tukst_EUR","Taja_skaita_PVN_iemaksa","Taja_skaita_PVN_atmaksa","Taja_skaita_IIN_summa","Taja_skaita_VSAOI_summa","Videjais_nodarbinato_personu_skaits_cilv"
"40002007215","BRESLAVA SIA","2026. gada 1. ceturksnis","2.69","1.02","0.00","0.17","1.50","3"
"40002007639","VALLEO IK","2026. gada 1. ceturksnis","0.00","0.00","0.00","0.00","0.00","0"
"40002007696","FIRMA EN-EL SIA ZINĀTNISKĀ RAŽOŠANAS FIRMA","2026. gada 1. ceturksnis","0.72","0.00","0.10","0.35","0.47","1"
"40002007963","KATJA SIA","2026. gada 1. ceturksnis","1.95","0.00","0.00","0.29","1.66","2"
"40002008742","EKOPOLS INTERNETS SIA","2026. gada 1. ceturksnis","0.00","0.00","0.00","0.00","0.00","0"
"40002008865","RUSLANS UN ILZE IK","2026. gada 1. ceturksnis","0.00","0.00","0.00","0.00","0.00","0"
"40002009377","ARHITEKTA EDGARA BĒRZIŅA BIROJS SIA","2026. gada 1. ceturksnis","2.00","1.95","0.00","0.00","0.00","0"
"40002009540","MVV SIA","2026. gada 1. ceturksnis","0.70","0.40","0.00","0.07","0.09","2"
"40002009856","Š. TIMS IK","2026. gada 1. ceturksnis","1.16","0.00","0.00","0.13","1.02","2"
"40002010164","DANNO IK","2026. gada 1. ceturksnis","0.00","0.00","0.00","0.00","0.00","0"
"40002010253","LIJAS IK","2026. gada 1. ceturksnis","0.00","0.00","0.00","0.00","0.00","0"
"40002010304","I UN N SIA","2026. gada 1. ceturksnis","0.00","0.00","0.00","0.00","0.00","0"
"40002010376","ALNA-P SIA","2026. gada 1. ceturksnis","1.33","0.43","0.00","0.12","0.79","1"
"40002010380","VERĢI SIA","2026. gada 1. ceturksnis","654.09","35.95","0.00","211.65","402.51","164"
"40002010535","RĪGAS RĒVIJA SIA","2026. gada 1. ceturksnis","39.27","19.19","0.00","5.32","14.68","12"
"40002010802","BVS VIZUĀLIE RISINĀJUMI SIA","2026. gada 1. ceturksnis","5.03","1.18","0.00","1.88","1.97","2"
"40002010855","DŽAIV IK","2026. gada 1. ceturksnis","0.00","0.00","0.00","0.00","0.00","0"
"40002011032","ZVAIGZNE IK","2026. gada 1. ceturksnis","0.00","0.00","0.00","0.00","0.00","0"
"40002011348","N.K. SIA","2026. gada 1. ceturksnis","14.41","7.09","2.44","2.13","3.84","4"
"40002011494","A.SMIRNOV & CO SIA","2026. gada 1. ceturksnis","0.39","0.00","0.02","0.18","0.23","3"
"40002011600","ZAĻĀ PIPARMĒTRA SIA","2026. gada 1. ceturksnis","0.20","0.20","0.00","0.00","0.00","0"
"40002011916","SAIMĪTE IK","2026. gada 1. ceturksnis","0.00","0.00","0.00","0.00","0.00","0"
"40002012199","MĀRĪTE F IK","2026. gada 1. ceturksnis","0.00","0.00","0.00","0.00","0.00","1"
"40002012517","KM SIA","2026. gada 1. ceturksnis","5.41","2.93","0.00","0.68","1.80","2"
"40002012540","J.ĶĪSIS SIA","2026. gada 1. ceturksnis","39.43","0.23","0.00","14.06","25.13","21"
"40002012593","DVĪŅI Š SIA","2026. gada 1. ceturksnis","23.35","9.11","0.00","2.60","11.34","14"
"40002012606","FANEKS SIA","2026. gada 1. ceturksnis","283.74","178.57","0.00","35.66","68.27","26"
"40002012682","PAPARDĪTE SIA","2026. gada 1. ceturksnis","0.00","0.00","0.00","0.00","0.00","0"
"40002012752","POLERS SIA","2026. gada 1. ceturksnis","5.21","3.72","0.57","0.00","2.06","2"
"40002012786","CERERA 1 SIA","2026. gada 1. ceturksnis","6.40","3.31","0.00","0.35","2.73","2"
"40002013071","VENAFRO SIA","2026. gada 1. ceturksnis","18.63","7.72","0.00","1.38","9.23","14"
"40002013090","SALIMPEKS-II SIA","2026. gada 1. ceturksnis","0.05","0.00","0.00","0.00","0.00","0"
"40002013387","ARIOLS SIA","2026. gada 1. ceturksnis","295.96","110.57","0.00","51.52","133.36","82"
"40002013391","DMITRIJS UN KO IK","2026. gada 1. ceturksnis","0.00","0.00","0.00","0.00","0.00","0"
"40002013442","OZOLS LG SIA","2026. gada 1. ceturksnis","18.85","0.13","2.59","3.65","17.37","22"
"40002013527","JUMS 1 SIA","2026. gada 1. ceturksnis","1.64","0.67","0.00","0.14","0.83","3"
"40002013550","AKORUS SIA","2026. gada 1. ceturksnis","0.00","0.00","0.00","0.00","0.00","0"
"40002013584","B.K.J. SIA","2026. gada 1. ceturksnis","2.12","0.90","0.00","0.25","0.96","2"
"40002013739","VAMIRS SIA","2026. gada 1. ceturksnis","0.00","0.00","0.00","0.00"," -0.03","0"
"40002013847","CEGAL IK","2026. gada 1. ceturksnis","0.00","0.00","0.00","0.00","0.00","0"
"40002014109","DINABURGA ROSME SIA","2026. gada 1. ceturksnis","3.07","1.70","0.56","0.16","1.77","2"
"40002014325","FLAMINGO D SIA","2026. gada 1. ceturksnis","47.77","16.47","0.00","4.82","22.66","24"
"40002014414","CLX, SIA","2026. gada 1. ceturksnis","0.03","0.00","0.02","0.00","0.00","0"
"40002014541","NILA IK","2026. gada 1. ceturksnis","0.06","0.06","0.00","0.00","0.00","2"
"40002014768","AG UN KO IK","2026. gada 1. ceturksnis","0.00","0.00","0.00","0.00","0.00","0"
"40002014842","ALI SIA","2026. gada 1. ceturksnis","0.00","0.00","0.00","0.00","0.00","0"
"40002015439","SIA VALDIS F.","2026. gada 1. ceturksnis","6.22","1.25","0.00","1.25","3.69","4"
"40002015443","SABINA-I SIA","2026. gada 1. ceturksnis","0.00","0.00","0.00","0.00","0.00","2"
"40002015918","BRJUTS SIA","2026. gada 1. ceturksnis","3.54","0.00","0.17","1.49","2.22","2"
"40002015922","LARISA-8 IK","2026. gada 1. ceturksnis","0.00","0.00","0.00","0.00","0.00","0"
"40002016307","KREDĪTS SIA","2026. gada 1. ceturksnis","0.05","0.00","0.00","0.00","0.00","0"
"40002016557","VETERINĀRĀ AMBULANCE TOTO IK","2026. gada 1. ceturksnis","19.58","11.15","0.00","2.15","6.28","7"
"40002016913","TIPOGRĀFIJA UNIVERSUMS A SIA","2026. gada 1. ceturksnis","6.95","3.52","0.00","0.66","2.74","4"
"40002017035","IEVA-SIL SIA","2026. gada 1. ceturksnis","2.42","0.92","0.00","0.66","0.85","1"
"40002017177","VIKIJA SIA","2026. gada 1. ceturksnis","0.00","0.00","0.00","0.00","0.00","0"
"40002017209","PIE DZINTARA SIA","2026. gada 1. ceturksnis","7.27","2.90","0.00","1.05","3.30","4"
"40002017497","ŪBELE SIA","2026. gada 1. ceturksnis","1.73","0.00","0.00","0.18","1.48","2"
"40002017567","PĻAVIŅA IK","2026. gada 1. ceturksnis","0.00","0.00","0.00","0.00","0.00","0"
"40002017590","VAC IK","2026. gada 1. ceturksnis","0.00","0.00","0.00","0.00","0.00","0"
"40002017779","PIE DAGNIJAS SIA","2026. gada 1. ceturksnis","0.05","0.00","0.00","0.00","0.00","0"
"40002017800","PIE OLGAS IK","2026. gada 1. ceturksnis","0.00","0.00","0.00","0.00","0.00","0"
"40002017815","KRISTĪNE-RR SIA","2026. gada 1. ceturksnis","94.95","35.57","0.00","9.92","49.21","62"
"40002018295","POLIBILT SIA","2026. gada 1. ceturksnis","0.62","0.47","0.00","0.07","0.09","2"
"40002018702","PAULA K IK","2026. gada 1. ceturksnis","0.00","0.00","0.00","0.00","0.00","0"
"40002019074","J UN L IK","2026. gada 1. ceturksnis"," -14.50","0.89","15.39","0.00","0.00","0"
"40002019360","SALRO SIA","2026. gada 1. ceturksnis"," -1.92"," -0.35","2.04","0.00","0.41","1"
"40002019394","OZOLIŅAS DOKTORĀTS IK","2026. gada 1. ceturksnis","2.16","0.00","0.00","0.74","1.42","2"
"40002019680","LADIS IK","2026. gada 1. ceturksnis","0.00","0.00","0.00","0.00","0.00","0"
"40002019905","PAGASTS IK","2026. gada 1. ceturksnis","1.00","0.00","0.00","0.22","0.78","1"
"40002020035","TAURENIS SIA","2026. gada 1. ceturksnis","1.54","0.64","0.00","0.05","0.82","2"
"40002020054","BARHAT IK","2026. gada 1. ceturksnis","0.00","0.00","0.00","0.00","0.00","0"
"40002020459","VETEKS SIA","2026. gada 1. ceturksnis","0.05","0.00","0.01","0.01","0.01","1"
"40002020548","TRIJJŪGS IK","2026. gada 1. ceturksnis","0.00","0.00","0.00","0.00","0.00","0"
"40002020726","IRIK IK","2026. gada 1. ceturksnis","0.00","0.00","0.00","0.00","0.00","3"
"40002021030","KIO-IZ IK","2026. gada 1. ceturksnis","0.00","0.00","0.00","0.00","0.00","0"
"40002021134","ZELTA RUDENS SIA","2026. gada 1. ceturksnis","5.55","4.66","0.00","0.36","0.53","1"
"40002021295","PIENAVAS LABĪBA IK","2026. gada 1. ceturksnis","0.00","0.00","0.00","0.00","0.00","0"
"40002021401","AVOTIŅŠ-S SIA","2026. gada 1. ceturksnis","11.84","5.35","0.00","1.20","5.04","6"
"40002021755","ORIENTS-2 IK","2026. gada 1. ceturksnis","0.06","0.00","0.00","0.00","0.00","0"
"40002021948","INS SIA","2026. gada 1. ceturksnis","7.08","3.31","0.00","0.98","2.79","6"
"40002022182","CHEMPS SIA","2026. gada 1. ceturksnis","7.35","0.00","5.34","3.40","9.28","10"
"40002022248","ŠMS IK","2026. gada 1. ceturksnis","0.76","0.00","0.00","0.03","0.72","1"
"40002022286","KSAVERS SIA","2026. gada 1. ceturksnis","18.84","6.78","0.00","4.47","7.58","12"
"40002022394","EDIRTS SIA","2026. gada 1. ceturksnis","0.00","0.00","0.00","0.00","0.00","0"
"40002022746","KOŠAS IK","2026. gada 1. ceturksnis","0.77","0.62","0.00","0.06","0.09","1"
"40002022784","SOLO-MI IK","2026. gada 1. ceturksnis","0.00","0.00","0.00","0.00","0.00","0"
"40002022958","VALIR IK","2026. gada 1. ceturksnis","1.80","0.25","0.00","0.19","1.36","2"
"40002023879","A.V.S. SIA","2026. gada 1. ceturksnis","4.24","2.79","0.00","0.65","0.80","2"
"40002023972","AUDITS 55 SIA","2026. gada 1. ceturksnis","12.76","4.11","0.12","2.30","3.96","5"
"40002024037","ANCERS SIA","2026. gada 1. ceturksnis","67.65","51.37","0.00","4.30","11.15","8"
"40002024395","ZVĒRINĀTAS REVIDENTES S.KOĻESŅIKOVAS BIROJS SIA","2026. gada 1. ceturksnis","29.13","18.89","0.00","3.69","6.54","7"
"40002024588","MIEDZIŅŠ SIA","2026. gada 1. ceturksnis","14.11","8.99","0.00","1.77","3.34","3"
"40002024662","IKŠĶILES AUTOSTIKLU CENTRS SIA","2026. gada 1. ceturksnis","2.14","1.24","0.00","0.01","0.89","1"
"40002024747","MEGIJA SIA","2026. gada 1. ceturksnis","0.63","0.00","0.00","0.09","0.54","1"
"40002024817","IMOS SIA","2026. gada 1. ceturksnis"," -0.16","0.00","0.00","0.02"," -0.18","1"
"40002024821","IK GULBIS-ŠVĀNS","2026. gada 1. ceturksnis","0.00","0.00","0.00","0.00","0.00","0"
"40002024889","E.L.A.N. SIA","2026. gada 1. ceturksnis","4.73","1.83","0.00","0.65","2.20","3"
"40002024893","H2O SKAITĪTĀJS IK","2026. gada 1. ceturksnis","0.00","0.00","0.00","0.00","0.00","0"
"40002025013","NAVAS IK","2026. gada 1. ceturksnis","0.00","0.00","0.00","0.00","0.00","0"
"40002025189","I.R.R. IK","2026. gada 1. ceturksnis","0.00","0.00","0.00","0.00","0.00","0"
"40002025244","KLEMS SIA","2026. gada 1. ceturksnis","0.00","0.00","0.00","0.00","0.00","2"
"40002025259","AID-AĢENTŪRA IK","2026. gada 1. ceturksnis","0.18","0.18","0.00","0.00","0.00","1"
"40002025598","DIVI AM SIA","2026. gada 1. ceturksnis","0.05","0.00","0.00","0.00","0.00","1"
"40002025723","MVO SIA","2026. gada 1. ceturksnis","0.93","0.06","0.00","0.12","0.74","2"
"40002025812","RS DATORTEHNIKA SIA","2026. gada 1. ceturksnis","4.47","3.10","0.00","0.30","1.07","5"
"40002025827","JAUNĀ JAUNPILS APTIEKA SIA","2026. gada 1. ceturksnis","9.34","1.79","0.00","1.93","5.62","5"
"40002025901","KERA IK","2026. gada 1. ceturksnis","0.00","0.00","0.00","0.00","0.00","0"
"40002025973","ANDANTE Z IK","2026. gada 1. ceturksnis","1.98","0.55","0.04","0.16","1.30","2"
"40002026076","DAINAVAS SIA","2026. gada 1. ceturksnis","0.17","0.00","0.00","0.00","0.12","2"
"40002026146","BIKOVA IK","2026. gada 1. ceturksnis","1.15","0.00","0.00","0.11","0.78","1"
"40002026201","JODUPE SIA","2026. gada 1. ceturksnis","0.00","0.00","0.00","0.00","0.00","1"
"40002026254","SV TRANS SIA","2026. gada 1. ceturksnis","16.39","0.00","2.27","6.30","12.35","16"
"40002026273","TKAČUKS & CO IK","2026. gada 1. ceturksnis","0.00","0.00","0.00","0.00","0.00","0"
"40002026358","ILVOSS IK","2026. gada 1. ceturksnis","1.47","0.18","0.00","0.08","1.21","4"
"40002026409","SDS AUTO SIA","2026. gada 1. ceturksnis","4.56","1.35","0.00","0.30","2.90","4"
"40002026447","BLESS OTV IK","2026. gada 1. ceturksnis","0.00","0.00","0.00","0.00","0.00","0"
"40002026610","MAKSIMS UN KO IK","2026. gada 1. ceturksnis","0.00","0.00","0.00","0.00","0.00","0"
"40002027122","RIDNEKS SIA","2026. gada 1. ceturksnis","19.90","9.82","0.00","1.50","8.57","11"
"40002027245","HAVSOLS IK","2026. gada 1. ceturksnis","0.00","0.00","0.00","0.00","0.00","0"
"40002027495","ĢIMENES ĀRSTU PRAKSE SIA","2026. gada 1. ceturksnis","13.34","0.00","0.00","4.65","8.68","6"
"40002027550","KASIB IK","2026. gada 1. ceturksnis","0.00","0.00","0.00","0.00","0.00","0"
"40002027599","PESLAKS METĀLAPSTRĀDE SIA","2026. gada 1. ceturksnis","18.02","4.87","0.58","3.49","9.97","11"
"40002027673","JUROKSA SIA","2026. gada 1. ceturksnis","3.80"," -0.24","0.00","1.22","2.81","6"
"40002027688","ARTIFEX IK","2026. gada 1. ceturksnis","0.00","0.00","0.00","0.00","0.00","0"
"40002027739","A.PRIEDES MĒBELES SIA","2026. gada 1. ceturksnis","1.56","0.00","0.05","0.47","1.13","3"
"40002027758","JURANA IK","2026. gada 1. ceturksnis","0.00","0.00","0.00","0.00","0.00","0"
"40002027813","OĻESJA IK","2026. gada 1. ceturksnis","0.00","0.00","0.00","0.00","0.00","0"
"40002028113","TŪRISMA AĢENTŪRA LAGŪNA SIA","2026. gada 1. ceturksnis","3.89","1.19","0.00","0.59","2.11","3"
"40002028151","MINCIS IK","2026. gada 1. ceturksnis","1.25","0.00","0.00","0.20","1.05","2"
"40002028378","SMĒDE SIA","2026. gada 1. ceturksnis","0.46","0.20","0.00","0.10","0.15","1"
"40002028679","BAUMARKET SIA","2026. gada 1. ceturksnis","22.32","15.47","0.00","1.67","5.14","7"
"40002028683","TRIPLEX SIA","2026. gada 1. ceturksnis","48.20","23.86","0.00","8.12","14.42","9"
"40002028823","ANETE Š IK","2026. gada 1. ceturksnis","2.24","0.23","0.00","0.32","1.67","4"
"40002028857","MEDIS SIA","2026. gada 1. ceturksnis","0.15","0.10","0.00","0.00","0.00","0"
"40002029053","OKO SERVISS IK","2026. gada 1. ceturksnis","0.00","0.00","0.00","0.00","0.00","0"
"40002029119","TURAMURINA DETEKTĪVU AĢENTŪRA IK","2026. gada 1. ceturksnis","0.00","0.00","0.00","0.00","0.00","0"
"40002029250","IGORS KAPUSTINSKIS IK","2026. gada 1. ceturksnis","0.00","0.00","0.00","0.00","0.00","0"
"40002029284","JEGOROVAS AUDITS SIA","2026. gada 1. ceturksnis","8.58","3.10","0.00","0.48","2.49","3"
"40002029316","GRANDS FG IK","2026. gada 1. ceturksnis","0.00","0.00","0.00","0.00","0.00","1"
"40002029640","KALAFS SIA","2026. gada 1. ceturksnis","0.00","0.00","0.00","0.00","0.00","0"
"40002029886","HELIS IK","2026. gada 1. ceturksnis","0.00","0.00","0.00","0.00","0.00","0"
"40002030315","ARNA SIA","2026. gada 1. ceturksnis"," -2.28","0.30","12.88","3.35","6.95","5"
"40002030391","VIDMA I SIA","2026. gada 1. ceturksnis","0.00","0.00","0.00","0.00","0.00","0"
"40002030404","PAGRABNIECES AUDITORU BIROJS SIA","2026. gada 1. ceturksnis","9.59","6.04","0.00","0.97","2.58","3"
"40002030423","DATORIŅŠ SIA","2026. gada 1. ceturksnis","0.16","0.11","0.00","0.00","0.00","0"
"40002030866","SANREM SIA","2026. gada 1. ceturksnis","3.08","0.00","0.00","0.16","0.64","2"
"40002030989","RUMBA AK SIA","2026. gada 1. ceturksnis","0.00","0.00","0.00","0.00","0.00","0"
"40002031221","ALPE SIA","2026. gada 1. ceturksnis","3.22","2.05","0.00","0.04","1.01","2"
"40002031306","TRAČ IK","2026. gada 1. ceturksnis","0.00","0.00","0.00","0.00","0.00","0"
"40002031310","MSG IK","2026. gada 1. ceturksnis","0.56","0.46","0.00","0.00","0.00","0"
"40002031325","AIJA PLUS IK","2026. gada 1. ceturksnis","0.00","0.00","0.00","0.00","0.00","0"
"40002031382","ILZES KATLAPAS MEDICĪNISKĀ PRIVĀTPRAKSE SIA","2026. gada 1. ceturksnis","25.04","0.00","0.00","8.78","16.23","17"
"40002031448","ĢEO & DĒZIJA SIA","2026. gada 1. ceturksnis","23.15","12.09","0.00","3.29","7.77","5"
"40002031541","D UN A SIA","2026. gada 1. ceturksnis","0.00","0.00","0.00","0.00","0.00","0"
"40002031556","INESES BĒRZUPES MEDICĪNISKĀ PRIVĀTPRAKSE SIA","2026. gada 1. ceturksnis","1.87","0.00","0.00","0.82","1.04","2"
"40002031645","DANSENS SIA","2026. gada 1. ceturksnis","0.09","0.00","0.00","0.02","0.07","1"
"40002031857","MP IVONNA SIA","2026. gada 1. ceturksnis","0.73","0.00","0.00","0.16","0.57","1"
"40002031912","TERĒZE IK","2026. gada 1. ceturksnis","0.00","0.00","0.00","0.00","0.00","0"
"40002032053","SPEEDY.LV SIA","2026. gada 1. ceturksnis","0.00","0.00","0.00","0.00","0.00","0"
"40002032119","JAKUBS SIA","2026. gada 1. ceturksnis","0.00","0.00","0.00","0.00","0.00","0"
"40002032142","SKAN M SIA","2026. gada 1. ceturksnis","8.48","4.24","0.00","0.93","3.20","3"
"40002032157","VAĻEKS IK","2026. gada 1. ceturksnis","0.00","0.00","0.00","0.00","0.00","0"
"40002032852","AUTO PLUS SIA","2026. gada 1. ceturksnis","114.55","71.76","0.00","11.49","31.27","24"
"40002033006","ESTĒTIKS SIA","2026. gada 1. ceturksnis","21.30","0.00","0.00","5.19","10.85","7"
"40002033025","MANS ĪPAŠUMS SIA PRESES FIRMA","2026. gada 1. ceturksnis","1.42","0.19","0.00","0.49","0.74","1"
"40002033078","GRĀMATU TIRDZNIECĪBA SIA","2026. gada 1. ceturksnis","6.68","3.60","0.00","0.49","2.57","3"
"40002033311","ŠĶĒRSIELA IK","2026. gada 1. ceturksnis","0.00","0.00","0.00","0.00","0.00","0"
